GVKEY,DATE,YEAR,MLVALT
1704,31/10/2010,2010,16400.7753
1704,31/10/2011,2011,16089.92
1704,31/10/2012,2012,12688.2
1704,31/10/2013,2013,21497.42
1704,31/10/2014,2014,26971.89
1704,31/10/2015,2015,19453.2
1704,31/10/2016,2016,31348.24
1704,31/10/2017,2017,59815.8
1704,31/10/2018,2018,31794.96
1722,30/06/2006,2006,27066.6768
1722,30/06/2007,2007,21276.87
1722,30/06/2008,2008,21735
1722,30/06/2009,2009,17186.34
1722,30/06/2010,2010,16498.98
1722,30/06/2011,2011,20381.4
1722,30/06/2012,2012,19453.68
1722,31/12/2013,2013,28600.6
1722,31/12/2014,2014,33124
1722,31/12/2015,2015,21824.6
1722,31/12/2016,2016,26157.45
1722,31/12/2017,2017,22324.56
1722,31/12/2018,2018,22902.23
1878,31/01/2007,2006,10103.692
1878,31/01/2008,2007,9464.5
1878,31/01/2009,2008,3748.4222
1878,31/01/2010,2009,5445.079
1878,31/01/2011,2010,9234.36
1878,31/01/2012,2011,8132.4
1878,31/01/2013,2012,8693.568
1878,31/01/2014,2013,11618.375
1878,31/01/2015,2014,12259.135
1878,31/01/2016,2015,10506.408
1878,31/01/2017,2016,17919.202
1878,31/01/2018,2017,25239.846
1878,31/01/2019,2018,32295.68
1891,30/06/2006,2006,25459.49
1891,30/06/2007,2007,25970.226
1891,30/06/2008,2008,21381.57
1891,30/06/2009,2009,17780.248
1891,30/06/2010,2010,19807.92
1891,30/06/2011,2011,25855.344
1891,30/06/2012,2012,26950.572
1891,30/06/2013,2013,33231.836
1891,30/06/2014,2014,38070.256
1891,30/06/2015,2015,37419.272
1891,30/06/2016,2016,41865.159
1891,30/06/2017,2017,45594.7
1891,30/06/2018,2018,58860.632
1913,31/12/2006,2006,6678.4021
1913,31/12/2007,2007,5228.2852
1913,31/12/2008,2008,3219.5519
1913,31/12/2009,2009,3842.9079
1913,31/12/2010,2010,4462.2973
1913,31/12/2011,2011,3047.8236
1913,31/12/2012,2012,3489.0318
1913,31/12/2013,2013,4827.1738
1913,31/12/2014,2014,4693.0129
1913,31/12/2015,2015,5637.3949
1913,31/12/2016,2016,6201.058
1913,31/12/2017,2017,10109.0583
1913,31/12/2018,2018,7610.7569
1920,31/12/2006,2006,14583.5256
1920,31/12/2007,2007,16906.981
1920,31/12/2008,2008,10245.1905
1920,31/12/2009,2009,13465.62
1920,31/12/2010,2010,12482.4324
1920,31/12/2011,2011,7526.076
1920,31/12/2012,2012,6206.392
1920,31/12/2013,2013,7471.758
1920,31/12/2014,2014,4081.833
1920,31/12/2015,2015,1763.775
1920,31/12/2016,2016,2205.504
1920,31/12/2017,2017,946.645
1920,31/12/2018,2018,672.448
1976,31/12/2006,2006,23883.734
1976,31/12/2007,2007,25578.94
1976,31/12/2008,2008,9909.63
1976,31/12/2009,2009,12629.76
1976,31/12/2010,2010,24697.44
1976,31/12/2011,2011,21255.68
1976,31/12/2012,2012,18013.8357
1976,31/12/2013,2013,24203.88
1976,31/12/2014,2014,24334.38
1976,31/12/2015,2015,20167.55
1976,31/12/2016,2016,27547.28
2019,31/12/2006,2006,29758.2476
2019,31/12/2007,2007,55878.1311
2019,31/12/2008,2008,32536.0701
2019,31/12/2009,2009,33783.145
2019,31/12/2010,2010,37494.206
2019,31/12/2011,2011,24084.6093
2019,31/12/2012,2012,29901.693
2019,31/12/2013,2013,39910.215
2019,31/12/2014,2014,45366.51
2019,31/12/2015,2015,44737.8385
2019,31/12/2016,2016,49629.9814
2019,31/12/2017,2017,54583.9861
2019,31/12/2018,2018,45207.2518
2044,31/12/2006,2006,8558.7704
2044,31/12/2007,2007,9498.1068
2044,31/12/2008,2008,8374.8542
2044,31/12/2009,2009,7471.9343
2044,31/12/2010,2010,7798.064
2044,31/12/2011,2011,7228.4265
2044,31/12/2012,2012,7985.0648
2044,31/12/2013,2013,10371.7778
2044,31/12/2014,2014,12478.6717
2044,31/12/2015,2015,13961.1597
2044,31/12/2016,2016,16377.4893
2086,31/12/2006,2006,30175.7208
2086,31/12/2007,2007,36782.6859
2086,31/12/2008,2008,33011.0649
2086,31/12/2009,2009,35265.037
2086,31/12/2010,2010,29396.7045
2086,31/12/2011,2011,27756.7956
2086,31/12/2012,2012,36410.6252
2086,31/12/2013,2013,37768.2929
2086,31/12/2014,2014,39750.8836
2086,31/12/2015,2015,20893.0383
2086,31/12/2016,2016,23926.0857
2086,31/12/2017,2017,35001.0733
2086,31/12/2018,2018,33765.5942
2111,30/09/2006,2006,17347.2236
2111,30/09/2007,2007,20006.8259
2111,30/09/2008,2008,19509.36
2111,30/09/2009,2009,16536.4695
2111,30/09/2010,2010,17029.3656
2111,30/09/2011,2011,15750.4558
2111,30/09/2012,2012,15469.3282
2111,30/09/2013,2013,19403.78
2111,30/09/2014,2014,21839.2285
2111,30/09/2015,2015,27950.9314
2111,30/09/2016,2016,38334.7914
2111,30/09/2017,2017,44665.2349
2111,30/09/2018,2018,70006.464
2136,31/12/2006,2006,108424.4462
2136,31/12/2007,2007,125688.4406
2136,31/12/2008,2008,96293.628
2136,31/12/2009,2009,93945.6808
2136,31/12/2010,2010,101150.8829
2136,31/12/2011,2011,113700.7219
2136,31/12/2012,2012,123690.2806
2136,31/12/2013,2013,140638.68
2136,31/12/2014,2014,194369.2159
2136,31/12/2015,2015,188262.1485
2136,31/12/2016,2016,217613.3919
2136,31/12/2017,2017,215926.6647
2136,31/12/2018,2018,232302.8953
2154,31/12/2006,2006,3562.4972
2154,31/12/2007,2007,2752.1828
2154,31/12/2008,2008,2361.0854
2154,31/12/2009,2009,3208.8416
2154,31/12/2010,2010,3516.6328
2154,31/12/2011,2011,3097.7587
2154,31/12/2012,2012,3453.072
2154,31/12/2013,2013,4173.824
2154,31/12/2014,2014,4439.622
2154,31/12/2015,2015,4250.019
2154,31/12/2016,2016,4432.914
2154,31/12/2017,2017,4339.332
2154,31/12/2018,2018,4176.9
2176,31/12/2006,2006,169717.652
2176,31/12/2006,2006,169717.652
2176,31/12/2007,2007,219373.6
2176,31/12/2007,2007,219373.6
2176,31/12/2008,2008,149567.698
2176,31/12/2008,2008,149567.698
2176,31/12/2009,2009,153597.684
2176,31/12/2009,2009,153597.684
2176,31/12/2010,2010,
2176,31/12/2010,2010,
2176,31/12/2011,2011,189192.9109
2176,31/12/2011,2011,189192.9109
2176,31/12/2012,2012,220625.7545
2176,31/12/2012,2012,220625.7545
2176,31/12/2013,2013,292404.7315
2176,31/12/2013,2013,292404.7315
2176,31/12/2014,2014,
2176,31/12/2014,2014,
2176,31/12/2015,2015,
2176,31/12/2015,2015,
2176,31/12/2016,2016,
2176,31/12/2016,2016,
2176,31/12/2017,2017,
2176,31/12/2017,2017,
2176,31/12/2018,2018,502273.8156
2176,31/12/2018,2018,502273.8156
2184,28/02/2007,2006,22340.8444
2184,29/02/2008,2007,17658.9598
2184,28/02/2009,2008,11922.3729
2184,28/02/2010,2009,15286.7475
2184,28/02/2011,2010,12657.1016
2184,29/02/2012,2011,8432.58
2184,31/01/2013,2012,5500.3678
2184,31/01/2014,2013,8162.5185
2184,31/01/2015,2014,12371.6736
2184,31/01/2016,2015,9043.1475
2184,31/01/2017,2016,13850.5282
2184,31/01/2018,2017,20675.1033
2184,31/01/2019,2018,15740.2457
2269,30/04/2007,2006,7307.9816
2269,30/04/2008,2007,7129.8606
2269,30/04/2009,2008,5058.3043
2269,30/04/2010,2009,5919.7329
2269,30/04/2011,2010,5279.7781
2269,30/04/2012,2011,4294.1493
2269,30/04/2013,2012,7562.8949
2269,30/04/2014,2013,7793.5598
2269,30/04/2015,2014,8324.316
2269,30/04/2016,2015,4463.2843
2269,30/04/2017,2016,5135.7691
2269,30/04/2018,2017,5785.8731
2269,30/04/2019,2018,5495.3316
2285,31/12/2006,2006,67326.1502
2285,31/12/2007,2007,64430.1203
2285,31/12/2008,2008,29789.5485
2285,31/12/2009,2009,39314.1318
2285,31/12/2010,2010,47983.0023
2285,31/12/2011,2011,54624.1118
2285,31/12/2012,2012,56944.3522
2285,31/12/2013,2013,102009.7597
2285,31/12/2014,2014,91860.5054
